X,Y,ORGANIZATION_NAME,CLIENT_NAME,SITE_NAME,PRIMARY_FACILITY_NAME,CLIENT_ID,SITE_ID,PRIMARY_FACILITY_ID,SUB_FACILITY_NAME,SUB_FACILITY_ID,PRIMARY_FACILITY_TYPE,PRIMARY_FACILITY_KIND,OTHER_FACILITY_ID,SUB_FACILITY_TYPE,SOTHER_FID,CLIENT_RELATIONSHIP,SITE_STATUS,PRIMARY_FACILITY_STATUS,SUB_FACILITY_STATUS,COMPLIANCE,SHAPE_FID
-8925504.0057,5023615.5448,SLIPPERY ROCK MATERIALS INC,SLIPPERY ROCK MATERIALS INC,CRESS 1 MINE,CRESS 1 MINE,60389,2265,2987,CRESS 1 MINE,569013,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,37800303,MINERAL PREPARATION PLANT,37800303,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4313258
-8941367.033,5157942.4152,BEDROCK SAND & GRAVEL INC,BEDROCK SAND & GRAVEL INC,BEDROCK 1 MINE,BEDROCK 1 MINE,62545,4000,5412,BEDROCK 1 MINE,15917,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,2579302,MINERAL PREPARATION PLANT,PA0107212,Owner,RECLAMATION COMPLETED,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4333810
-8886109.2751,5167139.6795,WROBLEWSKI SAND & GRAVEL INC,WROBLEWSKI SAND & GRAVEL INC,MAYBRO LOWVILLE MINE,MAYBRO LOWVILLE MINE,63568,244166,248941,MAYBRO LOWVILLE MINE,224549,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4876SM6,MINERAL PREPARATION PLANT,4876SM6,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4358004
-8944582.9289,5158524.7845,OVER LAKE INC,OVER LAKE INC,OVERLAKE MINE,OVERLAKE MINE,51268,3621,4878,OVERLAKE MINE,14328,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,25830310,MINERAL PREPARATION PLANT,25830310,Owner,INACTIVE,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4358440
-8904167.7694,5144308.5046,DEAN GLOVER TRUCKING,DEAN GLOVER TRUCKING,UNION CITY 3 MINE,UNION CITY 3 MINE,87700,166364,168317,UNION CITY 3 MINE,124501,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4878SM1,MINERAL PREPARATION PLANT,4878SM1,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4380285
-8816627.3597,5136046.1883,IA CONST CORP,IA CONST CORP,MEAD ISLAND MINE,MEAD ISLAND MINE,38354,242578,246899,MEAD ISLAND MINE,218722,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4674SM5,MINERAL PREPARATION PLANT,4674SM5,Owner,RECLAMATION COMPLETED,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4399232
-8918979.447,5015251.1224,THREE RIVERS AGGREGATES LLC,THREE RIVERS AGGREGATES LLC,BLACK RUN GRAVEL MINE,BLACK RUN GRAVEL MINE,280279,536253,556719,BLACK RUN GRAVEL MINE,1098201,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,10000305,MINERAL PREPARATION PLANT,10000305,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4408945
-8901910.4581,5145845.5026,RAY SHOWMAN JR EXCAV INC,RAY SHOWMAN JR EXCAV INC,PORT SHOWMAN 3 MINE,PORT SHOWMAN 3 MINE,112464,551623,691710,PORT SHOWMAN 3 MINE,951669,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,25070303,MINERAL PREPARATION PLANT,25070303,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4409313
-8955683.9562,5034615.0674,NEW CASTLE LIME & STONE CO,NEW CASTLE LIME & STONE CO,NEW CASTLE 1 MINE,NEW CASTLE 1 MINE,61355,637648,653303,NEW CASTLE 1 MINE,939289,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,43040302,MINERAL PREPARATION PLANT,43040302,Owner,ACTIVE,ACTIVE,NOT STARTED,YES,4413150
-8861649.9088,5037325.8206,TERRA WORKS INC,TERRA WORKS INC,MYERS MINE,MYERS MINE,248582,481842,511057,MYERS MINE,844069,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,16970307,MINERAL PREPARATION PLANT,16970307,Owner,ACTIVE,STAGE1/REGRADED,STAGE 1/REGRADED,YES,4484012
-8944582.9294,5004846.6477,CEMEX INC,CEMEX INC,VANPORT STONE MINE,VANPORT STONE INC MINE,284460,262764,281647,VANPORT STONE INC MINE,570319,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,3175SM11,MINERAL PREPARATION PLANT,3175SM11,Owner,ACTIVE,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4513941
-8942229.4127,5087531.9577,KOSTURICK CONST LLC,KOSTURICK CONST LLC,MULLET MINE,MULLET MINE,338253,497302,701618,MULLET MINE,980634,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,20080301,MINERAL PREPARATION PLANT,20080301,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4544519
-8898292.5745,5146385.5875,WILKINSON AGGREGATES INC,WILKINSON AGGREGATES INC,WISE MINE,WISE MINE,349634,765420,770574,WISE MINE,1141416,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,25130303,MINERAL PREPARATION PLANT,25130303,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4578100
-8878378.7545,4827266.3392,LAUREL AGGREGATES OF DELAWARE LLC,LAUREL AGGREGATES OF DELAWARE LLC,LAKE LYNN QUARRY,LAKE LYNN QUARRY,295480,466538,495743,LAKE LYNN QUARRY,1328426,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,26970401,MINERAL PREPARATION PLANT,26970401,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4607412
